date,open,close,high,low,volume,turnover,increase,increase_rate,increase_amount,exchange_rate,code
2023-02-09,63.2,53.6,64.98,51.51,829237,4483553624.0,56.67,125.49,29.83,66.57,301358
2023-02-10,52.12,51.45,53.37,51.34,437093,2286216191.0,3.79,-4.01,-2.15,35.09,301358
2023-02-13,51.62,52.7,53.58,50.41,377651,1962042254.0,6.16,2.43,1.25,30.32,301358
2023-02-14,52.01,51.27,52.23,51.04,206328,1063723016.0,2.26,-2.71,-1.43,16.56,301358
2023-02-15,51.48,51.48,52.17,51.15,161444,833479924.0,1.99,0.41,0.21,12.96,301358
2023-02-16,51.4,48.75,51.4,48.75,270252,1350102206.0,5.15,-5.3,-2.73,21.7,301358
2023-02-17,48.85,47.8,49.68,47.6,152207,739223851.0,4.27,-1.95,-0.95,12.22,301358
2023-02-20,47.31,47.03,47.5,46.34,152140,712121477.0,2.43,-1.61,-0.77,12.21,301358
2023-02-21,47.02,47.85,48.58,46.78,144312,690923419.0,3.83,1.74,0.82,11.59,301358
2023-02-22,47.21,48.5,48.75,47.21,108801,524823619.0,3.22,1.36,0.65,8.73,301358
2023-02-23,48.59,48.08,48.83,47.86,85500,412032103.0,2.0,-0.87,-0.42,6.86,301358
2023-02-24,48.05,46.66,48.12,46.6,97930,461190619.0,3.16,-2.95,-1.42,7.86,301358
2023-02-27,46.35,46.74,47.48,46.35,67788,318426806.0,2.42,0.17,0.08,5.44,301358
2023-02-28,46.68,47.07,47.17,46.64,50066,234802456.0,1.13,0.71,0.33,4.02,301358
2023-03-01,47.11,47.26,47.55,46.56,69173,325285024.0,2.1,0.4,0.19,5.55,301358
2023-03-02,47.26,46.58,47.26,46.5,74811,349969612.0,1.61,-1.44,-0.68,6.01,301358
2023-03-03,46.38,48.07,48.23,46.38,136624,652809030.0,3.97,3.2,1.49,10.97,301358
2023-03-06,47.97,48.31,48.49,47.61,85253,409689929.0,1.83,0.5,0.24,6.84,301358
2023-03-07,48.29,46.73,48.29,46.73,83432,395132580.0,3.23,-3.27,-1.58,6.7,301358
2023-03-08,46.51,47.0,47.16,46.4,50590,236789377.0,1.63,0.58,0.27,4.06,301358
2023-03-09,46.88,47.11,47.35,46.35,63349,296824135.0,2.13,0.23,0.11,5.09,301358
2023-03-10,46.86,47.68,48.27,46.68,97242,463831974.0,3.38,1.21,0.57,7.81,301358
2023-03-13,47.46,46.98,47.52,46.65,76862,360809135.0,1.82,-1.47,-0.7,6.17,301358
2023-03-14,46.9,44.75,46.9,44.19,114598,519392256.0,5.77,-4.75,-2.23,9.2,301358
2023-03-15,44.96,44.33,45.48,44.31,61672,276618468.0,2.61,-0.94,-0.42,4.95,301358
2023-03-16,44.41,42.73,44.79,42.53,92998,403664368.0,5.1,-3.61,-1.6,7.47,301358
2023-03-17,43.1,42.36,43.19,42.01,80355,341671845.0,2.76,-0.87,-0.37,6.45,301358
2023-03-20,42.03,42.18,42.56,41.3,71970,301519369.0,2.97,-0.42,-0.18,5.78,301358
2023-03-21,42.2,43.36,43.38,41.53,88281,376022028.0,4.39,2.8,1.18,7.09,301358
2023-03-22,43.28,43.18,44.3,42.88,78926,343571239.0,3.27,-0.42,-0.18,6.34,301358
2023-03-23,42.71,42.56,43.09,42.4,57585,245594066.0,1.6,-1.44,-0.62,4.62,301358
2023-03-24,42.65,43.45,43.67,42.14,78803,339983391.0,3.59,2.09,0.89,6.33,301358
2023-03-27,43.02,44.03,44.44,42.82,82357,360158193.0,3.73,1.33,0.58,6.61,301358
2023-03-28,43.87,42.91,43.87,42.65,64468,278337290.0,2.77,-2.54,-1.12,5.18,301358
2023-03-29,42.96,42.17,43.46,42.14,56938,243867680.0,3.08,-1.72,-0.74,4.57,301358
2023-03-30,42.17,42.45,42.8,41.68,40015,169314103.0,2.66,0.66,0.28,3.21,301358
2023-03-31,42.6,42.6,43.2,42.16,48414,206591244.0,2.45,0.35,0.15,3.89,301358
2023-04-03,42.33,42.6,42.92,42.0,52825,224295170.0,2.16,0.0,0.0,4.24,301358
2023-04-04,42.52,40.79,42.52,40.75,93806,388770111.0,4.15,-4.25,-1.81,7.53,301358
2023-04-06,40.64,41.63,42.0,40.03,62205,255900459.0,4.83,2.06,0.84,4.99,301358
2023-04-07,41.44,41.67,42.22,41.41,46638,194571796.0,1.95,0.1,0.04,3.74,301358
2023-04-10,42.3,44.87,45.45,41.82,191836,841662479.0,8.71,7.68,3.2,15.4,301358
2023-04-11,44.3,45.69,46.23,43.69,183512,827590295.0,5.66,1.83,0.82,14.73,301358
2023-04-12,45.11,44.7,45.17,44.01,112963,503785640.0,2.54,-2.17,-0.99,9.07,301358
2023-04-13,44.7,44.03,45.7,43.61,94547,422480248.0,4.68,-1.5,-0.67,7.59,301358
